CaseNumber,InstitutionName,InstitutionURL,DetailsURL,DateOpened,Status,OpenFor,DateResolved
134,Binghamton University,www.binghamton.edu,http://projects.chronicle.com/titleix/case/134,"December 31, 2013",Resolved,"5months, 4weeks","June 27, 2014"
135,Texas A&M University at College Station,www.tamu.edu,http://projects.chronicle.com/titleix/case/135,"March 18, 2015",Open,10months,NA
136,University of Connecticut,uconn.edu,http://projects.chronicle.com/titleix/case/136,"December 6, 2013",Resolved,"1year, 2months","February 17, 2015"
137,University of Illinois at Urbana-Champaign,www.illinois.edu,http://projects.chronicle.com/titleix/case/137,"July 3, 2012",Resolved,"10months, 3weeks","May 22, 2013"
138,University of Montana at Missoula,www.umt.edu,http://projects.chronicle.com/titleix/case/138,"May 4, 2012",Resolved,1year,"May 9, 2013"
139,University of San Diego,www.sandiego.edu,http://projects.chronicle.com/titleix/case/139,"December 22, 2014",Resolved,3months,"March 23, 2015"
140,University of Washington,www.washington.edu,http://projects.chronicle.com/titleix/case/140,"June 1, 2015",Open,"7months, 2weeks",NA
141,University of Wisconsin at Madison,www.wisc.edu,http://projects.chronicle.com/titleix/case/141,"February 24, 2015",Open,"10months, 3weeks",NA
142,University of Wisconsin at Whitewater,www.uww.edu,http://projects.chronicle.com/titleix/case/142,"February 14, 2014",Open,"1year, 11months",NA
143,Valley Forge Military College,www.vfmac.edu,http://projects.chronicle.com/titleix/case/143,"April 23, 2015",Open,"8months, 3weeks",NA
144,Valparaiso University,valpo.edu,http://projects.chronicle.com/titleix/case/144,"October 3, 2014",Open,"1year, 3months",NA
145,State University of New York College at Purchase,www.purchase.edu,http://projects.chronicle.com/titleix/case/145,"January 5, 2015",Open,1year,NA
146,Buffalo State College,www.buffalostate.edu,http://projects.chronicle.com/titleix/case/146,"April 7, 2015",Open,"9months, 1week",NA
147,Virginia Military Institute,www.vmi.edu,http://projects.chronicle.com/titleix/case/147,"September 15, 2014",Resolved,"6months, 3weeks","April 6, 2015"
148,Washburn University,www.washburn.edu,http://projects.chronicle.com/titleix/case/148,"July 1, 2014",Open,"1year, 6months",NA
149,Washington and Lee University,www.wlu.edu,http://projects.chronicle.com/titleix/case/149,"February 18, 2015",Open,"10months, 4weeks",NA
150,Washington State University,wsu.edu,http://projects.chronicle.com/titleix/case/150,"January 15, 2013",Open,"2years, 12months",NA
151,West Virginia School of Osteopathic Medicine,www.wvsom.edu,http://projects.chronicle.com/titleix/case/151,"March 25, 2013",Open,"2years, 9months",NA
152,Western Washington University,www.wwu.edu,http://projects.chronicle.com/titleix/case/152,"April 17, 2015",Open,9months,NA
153,Westminster College (Utah),www.westminstercollege.edu,http://projects.chronicle.com/titleix/case/153,"January 20, 2015",Open,"11months, 3weeks",NA
154,Whitman College,www.whitman.edu,http://projects.chronicle.com/titleix/case/154,"November 7, 2014",Open,"1year, 2months",NA
155,Wittenberg University,www.wittenberg.edu,http://projects.chronicle.com/titleix/case/155,"August 25, 2011",Open,"4years, 4months",NA
156,Wittenberg University,www.wittenberg.edu,http://projects.chronicle.com/titleix/case/156,"April 18, 2013",Open,"2years, 8months",NA
157,Xavier University (Ohio),www.xavier.edu,http://projects.chronicle.com/titleix/case/157,"December 8, 2011",Resolved,2months,"February 7, 2012"
158,Xavier University (Ohio),www.xavier.edu,http://projects.chronicle.com/titleix/case/158,"February 7, 2012",Resolved,"5months, 2weeks","July 23, 2012"
159,Yale University,www.yale.edu,http://projects.chronicle.com/titleix/case/159,"April 1, 2011",Resolved,"1year, 2months","June 15, 2012"
160,Hobart and William Smith Colleges,www.hws.edu,http://projects.chronicle.com/titleix/case/160,"August 10, 2015",Open,5months,NA
161,Marion Military Institute,www.marionmilitary.edu,http://projects.chronicle.com/titleix/case/161,"April 16, 2015",Open,9months,NA
163,Medical College of Wisconsin,www.mcw.edu,http://projects.chronicle.com/titleix/case/163,"September 1, 2015",Open,"4months, 1week",NA
164,Chapman University,www.chapman.edu,http://projects.chronicle.com/titleix/case/164,"July 25, 2015",Open,"5months, 3weeks",NA
165,Harvard University,www.harvard.edu,http://projects.chronicle.com/titleix/case/165,"December 21, 2010",Resolved,4years,"December 30, 2014"
166,Pomona College,www.pomona.edu,http://projects.chronicle.com/titleix/case/166,"October 2, 2015",Open,"3months, 1week",NA
167,Allegheny College,www.allegheny.edu,http://projects.chronicle.com/titleix/case/167,"July 30, 2015",Open,"5months, 2weeks",NA
168,Alma College,www.alma.edu,http://projects.chronicle.com/titleix/case/168,"October 20, 2015",Open,"2months, 3weeks",NA
169,Sarah Lawrence College,www.slc.edu,http://projects.chronicle.com/titleix/case/169,"December 4, 2013",Open,"2years, 1month",NA
170,Amherst College,www.amherst.edu,http://projects.chronicle.com/titleix/case/170,"January 6, 2014",Open,2years,NA
171,Southern Methodist University,www.smu.edu,http://projects.chronicle.com/titleix/case/171,"April 19, 2013",Resolved,"1year, 7months","December 11, 2014"
172,Brown University,www.brown.edu,http://projects.chronicle.com/titleix/case/172,"April 10, 2015",Open,"9months, 1week",NA
173,Occidental College,www.oxy.edu,http://projects.chronicle.com/titleix/case/173,"May 2, 2013",Open,"2years, 8months",NA
174,Stanford University,www.stanford.edu,http://projects.chronicle.com/titleix/case/174,"July 23, 2015",Open,"5months, 3weeks",NA
175,Stanford University,www.stanford.edu,http://projects.chronicle.com/titleix/case/175,"July 23, 2015",Open,"5months, 3weeks",NA
176,State University of New York system,www.suny.edu,http://projects.chronicle.com/titleix/case/176,"December 23, 2010",Resolved,"2years, 10months","October 31, 2013"
177,Ohio State University,www.osu.edu,http://projects.chronicle.com/titleix/case/177,"June 23, 2010",Resolved,"4years, 2months","September 11, 2014"
178,Ohio State University,www.osu.edu,http://projects.chronicle.com/titleix/case/178,"August 12, 2015",Open,5months,NA
179,Cisco College,www.cisco.edu,http://projects.chronicle.com/titleix/case/179,"May 7, 2014",Open,"1year, 8months",NA
180,Cleveland State University,www.csuohio.edu,http://projects.chronicle.com/titleix/case/180,"August 31, 2015",Open,"4months, 2weeks",NA
181,Swarthmore College,www.swarthmore.edu,http://projects.chronicle.com/titleix/case/181,"July 12, 2013",Open,"2years, 6months",NA
182,Columbia University,www.columbia.edu,http://projects.chronicle.com/titleix/case/182,"July 30, 2015",Open,"5months, 2weeks",NA
183,Corning Community College,www.corning-cc.edu,http://projects.chronicle.com/titleix/case/183,"September 2, 2015",Open,"4months, 1week",NA
184,Dartmouth College,www.dartmouth.edu,http://projects.chronicle.com/titleix/case/184,"May 31, 2013",Open,"2years, 7months",NA
185,Dartmouth College,www.dartmouth.edu,http://projects.chronicle.com/titleix/case/185,"August 21, 2015",Open,"4months, 3weeks",NA
186,Point Park University,www.pointpark.edu,http://projects.chronicle.com/titleix/case/186,"February 27, 2015",Open,"10months, 2weeks",NA
187,Tufts University,www.tufts.edu,http://projects.chronicle.com/titleix/case/187,"August 13, 2015",Open,5months,NA
188,Tufts University,www.tufts.edu,http://projects.chronicle.com/titleix/case/188,"October 25, 2010",Resolved,"3years, 6months","April 28, 2014"
189,Pratt Institute,www.pratt.edu,http://projects.chronicle.com/titleix/case/189,"August 26, 2015",Open,"4months, 2weeks",NA
190,Trinity University,www.trinity.edu,http://projects.chronicle.com/titleix/case/190,"July 31, 2015",Open,"5months, 2weeks",NA
191,Drake University,www.drake.edu,http://projects.chronicle.com/titleix/case/191,"October 3, 2014",Open,"1year, 3months",NA
192,Boston College,www.bc.edu,http://projects.chronicle.com/titleix/case/192,"December 4, 2015",Open,"1month, 1week",NA
193,California Polytechnic State University at San Luis Obispo,calpoly.edu,http://projects.chronicle.com/titleix/case/193,"December 9, 2015",Open,1month,NA
194,Central Community College,www.cccneb.edu,http://projects.chronicle.com/titleix/case/194,"November 20, 2015",Open,"1month, 3weeks",NA
195,Columbia College Chicago,www.colum.edu,http://projects.chronicle.com/titleix/case/195,"December 15, 2015",Open,< 1 month,NA
196,Cornell University,www.cornell.edu,http://projects.chronicle.com/titleix/case/196,"December 2, 2015",Open,"1month, 1week",NA
197,Elmira College,www.elmira.edu,http://projects.chronicle.com/titleix/case/197,"May 12, 2014",Open,"1year, 8months",NA
198,Grinnell College,www.grinnell.edu,http://projects.chronicle.com/titleix/case/198,"July 22, 2015",Open,"5months, 3weeks",NA
199,Lincoln University (Pa.),www.lincoln.edu,http://projects.chronicle.com/titleix/case/199,"December 2, 2015",Open,"1month, 1week",NA
200,Louisiana State University system,www.lsu.edu/administration,http://projects.chronicle.com/titleix/case/200,"August 4, 2015",Open,"5months, 1week",NA
201,Santa Clara University,www.scu.edu,http://projects.chronicle.com/titleix/case/201,"November 24, 2015",Open,"1month, 2weeks",NA
202,Seton Hall University,www.shu.edu,http://projects.chronicle.com/titleix/case/202,"July 22, 2015",Open,"5months, 3weeks",NA
203,Southern Illinois University at Carbondale,www.siu.edu,http://projects.chronicle.com/titleix/case/203,"September 4, 2015",Open,"4months, 1week",NA
204,University of Massachusetts at Amherst,www.umass.edu,http://projects.chronicle.com/titleix/case/204,"September 24, 2015",Open,"3months, 2weeks",NA
205,Kansas State University,www.k-state.edu,http://projects.chronicle.com/titleix/case/205,"September 24, 2015",Open,"3months, 2weeks",NA
206,Kansas State University,www.k-state.edu,http://projects.chronicle.com/titleix/case/206,"November 24, 2015",Open,"1month, 2weeks",NA
207,Massachusetts Institute of Technology,web.mit.edu,http://projects.chronicle.com/titleix/case/207,"August 13, 2015",Open,5months,NA
208,University of Miami,www.miami.edu,http://projects.chronicle.com/titleix/case/208,"October 9, 2015",Open,3months,NA
209,Massachusetts Maritime Academy,www.maritime.edu,http://projects.chronicle.com/titleix/case/209,"November 30, 2012",Resolved,"4months, 1week","April 10, 2013"
210,Monmouth College,www.monmouthcollege.edu,http://projects.chronicle.com/titleix/case/210,"September 11, 2015",Open,4months,NA
211,University of Nebraska at Kearney,www.unk.edu,http://projects.chronicle.com/titleix/case/211,"August 20, 2015",Open,"4months, 3weeks",NA
212,Pennsylvania State University at University Park,www.psu.edu,http://projects.chronicle.com/titleix/case/212,"November 22, 2013",Resolved,"4months, 3weeks","April 14, 2014"
213,New School,www.newschool.edu,http://projects.chronicle.com/titleix/case/213,"May 23, 2011",Resolved,"4months, 1week","September 30, 2011"
214,Oberlin College,www.oberlin.edu,http://projects.chronicle.com/titleix/case/214,"November 24, 2015",Open,"1month, 2weeks",NA
215,St. Cloud State University,www.stcloudstate.edu,http://projects.chronicle.com/titleix/case/215,"November 5, 2015",Open,"2months, 1week",NA
216,University of Houston,www.uh.edu/students,http://projects.chronicle.com/titleix/case/216,"October 27, 2015",Open,"2months, 2weeks",NA
217,University of Notre Dame,www.nd.edu,http://projects.chronicle.com/titleix/case/217,"December 3, 2010",Resolved,"6months, 4weeks","June 30, 2011"
218,Union College (N.Y.),www.union.edu,http://projects.chronicle.com/titleix/case/218,"September 16, 2015",Open,"3months, 4weeks",NA
219,University of Puerto Rico-Central Administration,www.upr.edu,http://projects.chronicle.com/titleix/case/219,"September 14, 2015",Open,4months,NA
220,Temple University,www.temple.edu,http://projects.chronicle.com/titleix/case/220,"November 20, 2015",Open,"1month, 3weeks",NA
221,Tufts University,www.tufts.edu,http://projects.chronicle.com/titleix/case/221,"October 26, 2010",Resolved,"2years, 6months","April 30, 2013"
222,University of Wisconsin at Whitewater,www.uww.edu,http://projects.chronicle.com/titleix/case/222,"September 10, 2015",Open,4months,NA
223,Spelman College,www.spelman.edu,http://projects.chronicle.com/titleix/case/223,"November 19, 2015",Open,"1month, 3weeks",NA
224,Morehouse College,www.morehouse.edu,http://projects.chronicle.com/titleix/case/224,"November 19, 2015",Open,"1month, 3weeks",NA
225,University of California at Berkeley,www.berkeley.edu,http://projects.chronicle.com/titleix/case/225,"July 15, 2015",Open,6months,NA
